CTID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,big_cell_type,major_cell_type,cell_name,cell_marker,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,Association_Type,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
CT197,Human,Gut,Colorectum,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer,Cancer cell,Epithelial cells,NME1+epi,NME1,39075485,Spatial transcriptome and single-cell reveal the role of nucleotide metabolism in colorectal cancer progression and tumor microenvironment,Journal of Translational Medicine,2024,Single-cell RNA-sequencing,Single-cell RNA-sequencing,clinical phenotype,Survival,Overall Survival,worse,clinical sample,survival analysis using independent datasets,unknown,clinical analysis,"""we applied our machine learning algorithm to scrutinize these 35 genes and develop a predic_x0002_ tive model (NME1 Risk Score, NRS). Utilizing 48 fore_x0002_ casting models, we examined the TCGA dataset and calculated the concordance index (C-index) for two validation datasets. The TCGA training dataset and the two validation datasets showed that the high-risk group had significantly worse survival outcomes than the low-risk group."""
CT198,"Human, Mouse",Lung,Lung,Lung Cancer,Lung Adenocarcinoma,EGFR-mutated,Cancer cell,Tumor cell,BCL2L1+ tumor cells,BCL2L1,39122703,Integrative single-cell RNA-seq and spatial transcriptomics analyses reveal diverse apoptosis-related gene expression profiles in EGFR-mutated lung cancer,Cell Death and Disease,2024,"Single-cell RNA-sequencing, Spatial transcriptomics",10x Genomics Visium,clinical phenotype,Drug Response,EGFR-TKI resistance,promotes,"cell lines, mouse models","genetic ablation, pharmacological inhibition, animal model experiments","CRISPR-Cas9, Western blot, qPCR, MRI","functional assay, RNA, protein","""We observed significantly fewer cells in BCL2L1 KO compared to control cells"" (Fig. 5A). ""no EGFRTM/CCSP-rtTA/TetO-Cre/Bcl2l1F/F mice exhibited resistant tumors"" (Fig. 5C). ""Quantification of surviving cells revealed a significant reduction in cell viability following combination therapy with either inhibitor compared to osimertinib alone"" (Fig. 6A)."
CT199,Human,Bone,Bone Marrow,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Acute Myeloid Leukemia,T cell,CD8+ T cells,CD8+ T cells,PLIN2、MSLN、MYH10、RXFP1、OLFML2A、ST6GALNAC4、WASIR2、MRC1、CA3、SHANK3、C8orf88、IL2RA、ITGA2B、PRUNE2、SEMA4F,39346926,A CD8+ T cell related immune score predicts survival and refines the risk assessment in acute myeloid leukemia,Frontiers in Immunology,2024,Single-cell RNA sequencing,Illumina’s NovaSeq 6000,clinical phenotype,Survival,Overall Survival,worse,clinical sample,survival analysis,analysis,clinical information,"Kaplan–Meier analysis revealed a significant association between high CTCG15 risk scores and reduced OS in the training cohort HOVON, suggesting its ability to effectively predict prognosis for AML patients (Figure 3F).

When applied to other RNA-seq datasets including TCGA (n = 179), BeatAML (n = 244), and GSE146173 (n = 246), the CTCG15 all remained strongly associated with clinical outcomes (Figures 4C–E)."
CT200,Human,Breast,Breast tissue,Breast Cancer,Triple-negative breast cancer,Triple-negative breast cancer,Fibroblast,Cancer-associated fibroblasts,CAFs,"CERCAM, KLF10, ECM1, HGF",39418248,Establishment of a tumor-associated fibroblast associated gene score based on scRNA-seq to predict prognosis in patients with triple-negative breast cancer,PLOS ONE,2024,Bulk RNA-seq and drug sensitivity prediction,pRRophetic,clinical phenotype,Drug Response,Gemcitabine sensitivity,more sensitive in low score group,clinical sample and cell line data,Independent dataset analysis,GEO (GSE128099),RNA analysis,"""the low CAFs Score group was more sensitive to Gemcitabine (Fig 9B, P = 0.0048). GSE128099 data set was analyzed and in the triple-negative breast cancer cell line supplemented with gemcitabine, four hub genes showed higher expression than previously, among which CERCAM (P = 0.00029), ECM1 (P = 0.0072) and KLF10 (P = 0.027) were statistically significant..."""
CT201,Human,Breast,Breast tissue,Breast Cancer,Triple-negative breast cancer,Triple-negative breast cancer,Fibroblast,Cancer-associated fibroblasts,CAFs,"CERCAM, KLF10, ECM1, HGF",39418248,Establishment of a tumor-associated fibroblast associated gene score based on scRNA-seq to predict prognosis in patients with triple-negative breast cancer,PLOS ONE,2024,Single-cell RNA sequencing,Seurat,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Independent cohort analysis,GEO (GSE103091),clinical analysis,"The survival analysis showed that the survival of the high score

 group was significantly worse than that of the low score group (P<0.001, Fig 6A)."
CT202,Human,Breast,unknown,Breast Cancer,Triple-Negative Breast Cancer,Triple-Negative Breast Cancer,Fibroblast,Cancer-associated fibroblasts,m5C_NSUN5+ CAF,NSUN5,39478153,RNA methylation patterns of tumor microenvironment cells regulate prognosis and immunotherapeutic responsiveness in patients with triple-negative breast cancer,,,Single-cell RNA sequencing,GSE176078,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Cox proportional hazard regression,analysis,clinical information,"Initially, we examined the relationship between different cell types and prognosis in patients with TNBC using univariate Cox regression analyses (Fig. 7a). m5C_NSUN5 + CAF and m5C_NSUN5 + Macrophage were associated with poorer patient prognosis across multiple datasets."
CT203,Human,Breast,unknown,Breast Cancer,Triple-Negative Breast Cancer,Triple-Negative Breast Cancer,Fibroblast,Cancer-associated fibroblasts,m5C_NSUN5+ CAF,NSUN5,39478153,RNA methylation patterns of tumor microenvironment cells regulate prognosis and immunotherapeutic responsiveness in patients with triple-negative breast cancer,,,Single-cell RNA sequencing,GSE176078,clinical phenotype,Drug Response,Response to Immunotherapy,negative response,clinical sample,Cox proportional hazard regression,analysis,clinical information,"Furthermore, we used logistic regression to assess the significance of RNA methyltransferase-associated TME cell types in predicting the response to immunotherapy in patients with BC (Fig. 7b). m5C_NSUN5 + CAF and m5C_NSUN5 + Macrophage negatively affected immunotherapy response, whereas m6A_WTAP + DC, m6A_WTAP + CD8 + T cells, m7G_WBSCR22 + B cells, and m7G_RNMT + B cells were associated with a positive response."
CT204,Human,Breast,unknown,Breast Cancer,Triple-Negative Breast Cancer,Triple-Negative Breast Cancer,Macrophage,Macrophages,m5C_NSUN5+ Macrophage,NSUN5,39478153,RNA methylation patterns of tumor microenvironment cells regulate prognosis and immunotherapeutic responsiveness in patients with triple-negative breast cancer,,,Single-cell RNA sequencing,GSE176078,clinical phenotype,Survival,Overall Survival,worse,clinical sample,Cox proportional hazard regression,analysis,clinical information,"Initially, we examined the relationship between different cell types and prognosis in patients with TNBC using univariate Cox regression analyses (Fig. 7a). m5C_NSUN5 + CAF and m5C_NSUN5 + Macrophage were associated with poorer patient prognosis across multiple datasets."
CT205,Human,Breast,unknown,Breast Cancer,Triple-Negative Breast Cancer,Triple-Negative Breast Cancer,Macrophage,Macrophages,m5C_NSUN5+ Macrophage,NSUN5,39478153,RNA methylation patterns of tumor microenvironment cells regulate prognosis and immunotherapeutic responsiveness in patients with triple-negative breast cancer,,,Single-cell RNA sequencing,GSE176078,clinical phenotype,Drug Response,Response to Immunotherapy,negative response,clinical sample,Cox proportional hazard regression,analysis,clinical information,"Furthermore, we used logistic regression to assess the significance of RNA methyltransferase-associated TME cell types in predicting the response to immunotherapy in patients with BC (Fig. 7b). m5C_NSUN5 + CAF and m5C_NSUN5 + Macrophage negatively affected immunotherapy response, whereas m6A_WTAP + DC, m6A_WTAP + CD8 + T cells, m7G_WBSCR22 + B cells, and m7G_RNMT + B cells were associated with a positive response."
CT206,Human,Breast,unknown,Breast Cancer,Triple-Negative Breast Cancer,Triple-Negative Breast Cancer,T cell,CD8+ T cells,m6A_WTAP+ CD8+ T cells,"WTAP, CD8",39478153,RNA methylation patterns of tumor microenvironment cells regulate prognosis and immunotherapeutic responsiveness in patients with triple-negative breast cancer,,,Single-cell RNA sequencing,GSE176078,clinical phenotype,Survival,Disease-Free Survival,better,clinical sample,Cox proportional hazard regression,analysis,clinical information,We categorized patients with TNBC into high and low infiltration groups based on the median number of m6A_WTAP + CD8 + T cells. Kaplan–Meier survival analyses and the log-rank test demonstrated that a higher infiltration of m6A_WTAP + CD8 + T cells was associated with extended disease-free survival (DFS) in patients (P = 0.019; Fig. 7g).
CT207,Human,Breast,unknown,Breast Cancer,Triple-Negative Breast Cancer,Triple-Negative Breast Cancer,T cell,CD8+ T cells,m6A_WTAP+ CD8+ T cells,"WTAP, CD8",39478153,RNA methylation patterns of tumor microenvironment cells regulate prognosis and immunotherapeutic responsiveness in patients with triple-negative breast cancer,,,Single-cell RNA sequencing,GSE176078,clinical phenotype,Drug Response,Response to Immunotherapy,positive response,clinical sample,Cox proportional hazard regression,analysis,clinical information,"Furthermore, we used logistic regression to assess the significance of RNA methyltransferase-associated TME cell types in predicting the response to immunotherapy in patients with BC (Fig. 7b). m5C_NSUN5 + CAF and m5C_NSUN5 + Macrophage negatively affected immunotherapy response, whereas m6A_WTAP + DC, m6A_WTAP + CD8 + T cells, m7G_WBSCR22 + B cells, and m7G_RNMT + B cells were associated with a positive response."
CT208,human,Breast,Breast,Breast Cancer,Breast Cancer,Breast Cancer,Natural Killer cell,NK cells,Natural Killer cell,GNLY、NKG7、CD56,39507529,Comprehensive single-cell and bulk transcriptomic analyses to develop an NK cell-derived gene signature for prognostic assessment and precision medicine in breast cancer,Frontiers in Immunology,2024,Single-cell RNA sequencing,10X indrop,clinical phenotype,Survival,overall survival,associated with better survival,clinical sample,survival analysis,analysis,clinical information,"Kaplan-Meier analysis revealed a significant difference between these two groups (P<0.001), with the high-NK group exhibiting longer survival (Figure 2A).

Consistently, this trend was also observed in the METABRIC cohort (P=0.006, Figure 2B; Supplementary Table S1), underscoring the critical role of NK cells in influencing BRCA prognosis."
CT209,Human,Breast,Breast tissue,Breast Cancer,Breast Cancer,Breast cancer,Natural Killer cell,Natural Killer cells,NK cells,"CCL5, EFHD2, KLRB1, C1S, SOCS3, IRF1, and CCND2",39507529,Comprehensive single-cell and bulk transcriptomic analyses to develop an NK cell-derived gene signature for prognostic assessment and precision medicine in breast cancer,Frontiers in Immunology,2024,Single-cell RNA sequencing and bulk transcriptomic analysis,scRNA-seq and bulk RNA-seq,clinical phenotype,Drug Response,Immunotherapy Response,better,clinical sample,Independent dataset analysis,"ICB cohorts (e.g., BMS038, Gide2019, IMvigor210)",clinical analysis,"""By combining scRNA-seq and bulk transcriptomic analyses, we identified 7 NK_x0002_related prognostic NKRGs (CCL5, EFHD2, KLRB1, C1S, SOCS3, IRF1, and CCND2)

and developed an NK-related risk scoring (NKRS) system.Unsurprisingly, the proportion of participants responsive to ICB therapy was as high as 22% (123/562) in the low-NKRS group, whereas there were no responders (0%, 0/458) at all in the high-NKRS group, strongly endorsing the favorable predictive power of NKRS for immunotherapy responsiveness (Figure 8G)."""
CT210,Human,Liver,Hepatocellular tissue,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Hepatocellular Carcinoma with Portal Vein Tumor Thrombus,Cancer cell,Malignant hepatocytes,PVTT cells,"PRR11, PLK1, and RACGAP1",39530087,Single-cell and bulk transcriptomic datasets enable the development of prognostic models based on dynamic changes in the tumor immune microenvironment in patients with hepatocellular carcinoma and portal vein tumor thrombus,Frontiers in Immunology,2024,Single-cell RNA-seq,GEO database (GSE149614),biological phenotype,Immune Exclude,immune desert and immune rejection-like phenotypes,presents with,clinical sample,Bulk RNA-seq,TCGA and ICGC databases,clinical analysis,"""These analyses revealed that PVTT cells exhibited patterns of tumor proliferation, stromal activation, and low levels of immune cell infiltration, presenting with immune desert and immune rejection-like phenotypes.""

""An established clustering model was capable of predicting tumor inflammatory stage, subtype, TME stromal activity, and patient outcomes."""
CT211,Human,oral,oral,Head and Neck Cancer,Head and Neck Squamous Cell Carcinoma,Squamous cell carcinoma,T cell,CD8+ T cells,exhausted CD8+ T cells,LAG3,39575251,"Integrated analysis of single-cell, spatial and bulk RNA-sequencing identifies a cell-death signature for predicting the outcomes of head and neck cancer",Frontiers in Immunology ,2024,survival analysis,analysis,clinical phenotype,Survival,Overall Survival,associated with worse survival,clinical sample,Spatial transcriptomics,,RNA,"T cells from tumor patients manifested the highest levels of cell death.

ST from LSCC showed that spots with high-risk scores were colocalized with TGF-β and the proliferating malignant cells, additionally, the risk scores have a negative correlation with TCR signaling but positive association with LAG3 transcription."
